customer_tweet_id,customer_text,gold_intent,predicted_intent,reply
644039,"If I gotta go look for my items in an actual store because I need em for saturday, Im going to be so upset",delivery_issue,delivery_issue,I’m really sorry you’re facing this delay. Could you share your order number or the expected delivery date? That’ll help me check the status and see what options we have to get your items to you on time.
514703,So mad We have bday parties for 5 friends this Sun. I ordered 5 similar gifts on Mon with #AmazonPrime - delayed until next Tues!,delivery_issue,delivery_issue,I’m sorry to hear about the delay. Could you please share your order number and the shipping carrier listed on the order? That will help me look into the status for you.
2625345,What happened to the 20% off for prime members if you buy a new game within 2 weeks of release? It came out 3 days ago. https://t.co/bkUMTPa3ue,prime_membership_or_benefit,prime_membership_or_benefit,"I’m sorry for the confusion. The 20 % Prime discount on new games applies only if you purchase the title before its official release date. Since the game you’re looking at launched just a few days ago, the discount isn’t available for that purchase. If you have any other questions, feel free to let me know."
470894,Have to give credit to ... delivery problem and customer service sorted it out with a replacement right away and has promised to never ship with again. Fair resolution. Quick. Decisive. Heard my concern and acted. Thanks.,feedback_or_praise,feedback_or_praise,"Thank you for sharing your positive experience! We’re glad the issue was resolved quickly and to your satisfaction. If there’s anything else we can help with, just let us know. Have a great day!"
1574304,Alexa has problem in finding artists whose name has a Dr. in it for music. Any idea why? Ex Dr. Rajkumar 😬,product_or_technical_issue,product_or_technical_issue,"Hi! Alexa can sometimes have trouble with titles that include abbreviations like “Dr.”.  
Try saying “Doctor Rajkumar” or “Dr Rajkumar” (without the period) and see if it finds the artist.  

If that still doesn’t work, could you let me know your device model and the Alexa app version? That’ll help me look into it further."
2970552,my package hasn’t arrived and it’s like 5pm lol what time is cutoff for your drivers?,delivery_issue,delivery_issue,"I’m sorry you’re still waiting. Amazon drivers typically deliver until 8:00 PM. If you haven’t received your package by then, please let me know your order number and I’ll help you check the latest status."
394512,"i haven’t yet, i’m waiting till the end of the day to see if it’ll show up.",delivery_issue,delivery_issue,"Sounds good—give it a bit more time. If you’d like, you can check the tracking status in your order details for the most up‑to‑date information. Let us know if anything changes or if you need further help."
1400597,Great service from ... parcel was delivered opened and an Item was missing.... this is literally how I received this parcel. https://t.co/GoPtbpWPUp,order_or_product_issue,order_or_product_issue,I’m really sorry to hear that. Could you please let me know the order number and which item was missing? I’ll help you get this resolved.
2513427,I ordered 2 books for my sister in Canada that haven't shown up. Ordered 11th Oct... How do I get a refund ?,return_or_refund,return_or_refund,"Hi there—sorry to hear your books haven’t arrived. Could you please share your order number and the shipping address? Once we have that, we can start a return request and work on getting a refund for you."
1108252,"I need actually help from https://t.co/IKYljKzc3O - Associates as I am waiting since months for my payments and they don`t solve the issue, because I haven`t received one of them. Do you have a telephone number?",payment_or_amazon_pay,payment_or_amazon_pay,"Hi there,

I’m sorry to hear your payment is still pending. The best way to get this resolved is to contact the Amazon Associates support team directly. Log in to your Associates account, go to the “Help” section, and use the “Contact Us” option to reach a specialist. They’ll be able to look into the missing payment and provide a phone number if a call is needed."
1353508,"hi, i recieved an email about amazon prime which i dont have &amp; was just wondering if u could tell me if it was real. Thanks https://t.co/9aVvu5omd2",account_access_or_security,account_access_or_security,"Thanks for reaching out.  
To see if the email is legitimate, log into your Amazon account and check the “Prime” section to confirm whether you have an active membership. If you don’t see any Prime subscription, the message is likely a phishing attempt. Avoid clicking any links in the email and consider reporting it to Amazon. Let me know if you need help checking your account or have any other questions."
1241096,"No errors, but nothing loads up on the home screen.",product_or_technical_issue,product_or_technical_issue,"It sounds like the app is stuck before it can display the home screen.  
Try these quick steps:

1. Close the app completely and reopen it.  
2. If that doesn’t help, clear the app’s cache (Settings → Apps → [Your app] → Storage → Clear cache).  
3. Restart your device.  

Let me know if the home screen loads after that. If it still doesn’t, we’ll look into other options."
13185,"WTF! Called them again and again, the call was dropped after 5 seconds of talking to someone. This is my 4th call for product NOT delivered",delivery_issue,delivery_issue,I’m sorry you’re having trouble getting through. Could you please share your order number and the carrier listed for the shipment? That will help us locate the delivery status and get you an update.
1702131,Your send feedback button is not working. So how do you give feedback on your feedback that’s not working. https://t.co/OMV81AcXiP,product_or_technical_issue,product_or_technical_issue,"It looks like the in‑app button isn’t working. You can still share your feedback by going to the Amazon Help Center, selecting “Contact Us,” and then choosing the “Feedback” option. That will open the same feedback form for you to submit. If you run into any trouble, try a different browser or clear your cache and try again."
226104,It’s been 20 days since delivery but there is no solid update from . How inefficient team does Amazon has in India.,return_or_refund,delivery_issue,I’m sorry to hear about the delay. Could you please share your order number so I can look into the status for you?
1574454,This is like the 4th time this month you’ve sent my package to the wrong place,delivery_issue,delivery_issue,I’m sorry to hear this has happened again. Could you please share your order number and the address you used at checkout? I’ll forward the details to our delivery team so we can investigate and get it sorted for you.
223930,What's the point in having Prime if they don't guarantee my shipment in 2 days. Hmmm,delivery_issue,prime_membership_or_benefit,"I’m sorry you’re having trouble with the delivery time. Prime’s two‑day shipping refers to the date the item ships from the seller, not the time it takes to process the order. Some items may need a bit more time to ship. Could you share your order number so I can look into the status for you?"
2279718,has apparently decided fucking over customers is worth saving a few dollars. Maybe I should save a few on my account.,feedback_or_praise,feedback_or_praise,I’m sorry you’re feeling frustrated. Could you share a bit more about what’s happening with your account—without posting any personal or account details? We’d like to help.
2960563,"My third year in a row ordering all my holiday presents from - It's getting worse each year. Orders always screwed up, wrong items sent, damaged, etc. It's my last year ordering anything from Amazon. I will be going back to traditional shopping at the store.",feedback_or_praise,feedback_or_praise,I’m really sorry to hear how frustrating this has been for you. Could you let me know if there’s a particular order you’re still waiting on or if you’d like help with any recent shipments? I’ll do my best to get this sorted out for you.
2141361,"I got a refund via gift certificate about 4 hours ago due to careless deliveres resulting in my order being missing, where do I see that the money's been refunded",payment_or_amazon_pay,payment_or_amazon_pay,"You can view the refunded amount by checking your Gift Card balance. If it’s not showing up, let me know and I’ll help you look into it."
1466813,"Hey this is not camp kern property, every delivery to this location has ben botched in some fashion. Please fix this issue. https://t.co/liwScRRv61",delivery_issue,delivery_issue,I’m sorry to hear this has happened again. Could you please share the order number and the address you used for delivery? That will help us investigate and get it sorted out.
2852165,I've had £1 pending on my account since 11/11 by can you like let me have it back please? #skint,payment_or_amazon_pay,payment_or_amazon_pay,"Hi! That £1 is an authorization hold placed by your bank to verify the payment method. It isn’t a charge, so the amount will be released automatically once the hold expires. If you’d like it removed sooner, you can contact your bank and ask them to lift the hold. Let me know if you need anything else!"
2608106,Pre-ordered my #SuperMarioOdyssey strategy guide a month ago from . Game's been out since Thurs night. No guide yet. https://t.co/8wTImJuqKx,delivery_issue,delivery_issue,I’m sorry you’re still waiting. Could you let me know the date listed on your order confirmation or share any tracking information you have? That will help me check the status for you.
924436,"Guys, please take down the offer on the home page of mobile app as it has expired #QAFail #SoftwarePatch https://t.co/0ygfzEimzA",product_or_technical_issue,product_or_technical_issue,"Thanks for letting us know. We’ve forwarded your feedback to the relevant team for review. If you notice any other issues, feel free to let us know."
1045002,I can't because it only gives me returns and I don't want to return it. I want money off my order as it's not new as advertised.,return_or_refund,return_or_refund,I’m sorry you’re having trouble. Could you please share your order number and a brief description of how the item differs from what was advertised? I’ll forward the details to the team so we can explore possible options for you.
1286429,There isn't a tracking number was due by 20th when I contacted the seller they said Thursday but it's still not here 🙁,delivery_issue,delivery_issue,"I’m sorry to hear your package hasn’t arrived yet. Could you please share the order number? Once I have that, I can check the status and help you get an update from the seller."
2385780,i have be chasing for my refund for almost 10 days now. Please support. My complaint no 4__credit_card__,return_or_refund,return_or_refund,"I’m sorry you’re still waiting on your refund.  
Could you please share the order number (or the email address used for the purchase) so I can check the status for you?"
1760499,what am I paying for exactly with prime? I love receiving a box full of broken bottles https://t.co/3k4D0Dox3B,order_or_product_issue,order_or_product_issue,I’m sorry you’re experiencing this. Could you share the order number and any photos of the damaged items? That will help us look into it and find the best next steps.
2520592,who trains the amazon delivery drivers? and why do they lie about their attempts at delivery?,delivery_issue,delivery_issue,I’m sorry you’re having trouble with your delivery. Could you let me know if you were home when the driver marked the package as “delivery attempted”? That will help us look into what happened.
230926,I understand once you hand it over it’s on delivery drivers but 3/n,delivery_issue,delivery_issue,I’m sorry you’re having trouble with the delivery. Could you let me know the order number and what happened when the driver arrived? That will help us look into it.
863343,Customer care not help me I was trying many times. They told me that our system is down. Please call after 24 hour,feedback_or_praise,product_or_technical_issue,I’m sorry you’re having trouble reaching us. Please fill out the support form on the Amazon Help page and let us know your order number or account details. We’ll review your request and get back to you within 24 hours.
1678590,regret should have ordered from you guys.. https://t.co/0kHn5JNNCy,feedback_or_praise,feedback_or_praise,I’m sorry to hear you’re disappointed. Could you share a bit more about what happened or what you were expecting? That will help me assist you better.
1540469,"I said, ""Alexa, sound like a cat."" And Alexa made a noise that still has Finn scouring the house for another feline.",feedback_or_praise,product_or_technical_issue,"It sounds like Alexa responded with one of the built‑in cat sounds. If you’d like a different animal or a different tone, try asking again or use a different command. Let me know if the issue keeps happening or if there’s anything else I can help with."
969260,"Yesterday your associate acknowledged of receiving product , but denied of sending mail, still no change in the status",return_or_refund,delivery_issue,"It sounds like the status hasn’t updated yet. Please reply to the email our specialist team sent you, and let them know the issue. Once we receive your reply, we’ll investigate and get back to you promptly. If you can share your order number, that would help us locate the case faster."
71837,Done. I am awaiting for my refund.......,return_or_refund,return_or_refund,Thanks for letting us know. We’re looking into your refund and will update you shortly. Please keep an eye on your email for any further information.
1580412,"Hey! Can't sign in or reset password. I don't get the code emails, and internet/email are all working. I'm in California.",account_access_or_security,account_access_or_security,"I’m sorry you’re having trouble.  
First, double‑check that the email address you entered is correct and look in your spam/junk folder.  
If you still don’t see a code, try requesting it from a different device or browser.  

If the problem persists, please call our support line at 1‑888‑280‑4331 and we’ll help you reset your password right away. Let me know if that resolves the issue."
735713,8523068977 my mobile no. I wnt ans.. It's nt right way to deal with cstmers.. At least call me plz..,feedback_or_praise,feedback_or_praise,"Thank you for reaching out. For privacy reasons we can’t share or receive phone calls. Please let us know the issue you’re experiencing, and we’ll help you through email or the Amazon Help Center."
2396351,"Re emails - I had an order where the payment was declined last month and on 3 October got a verification code, but I've used the account since then. Nothing about the account ceasing to exist!",account_access_or_security,account_access_or_security,"I’m sorry to hear you’re worried about your account.  
Could you please share the order number or the email address linked to the account? That will help us check the status and make sure everything is in order. Once we have that, we’ll let you know what’s happening."
1580420,My friend bought a 40 page colouring book from &amp; this is what it arrived in. A shocking waste of packaging https://t.co/KtJ294MQUM,feedback_or_praise,feedback_or_praise,"Hi, thanks for letting us know. Please submit your packaging feedback through the feedback form in your account so we can review it."
