customer_tweet_id,customer_text,predicted_intent,reply,relevance,helpfulness,groundedness,safety,clarity,overall,reason
644039,"If I gotta go look for my items in an actual store because I need em for saturday, Im going to be so upset",delivery_issue,I’m really sorry you’re facing this delay. Could you share your order number or the expected delivery date? That’ll help me check the status and see what options we have to get your items to you on time.,4,4,5,5,5,4.6,"The reply acknowledges the delay and offers to check status, which is relevant and helpful, with no unsupported claims or risky content, and is clear and concise."
514703,So mad We have bday parties for 5 friends this Sun. I ordered 5 similar gifts on Mon with #AmazonPrime - delayed until next Tues!,delivery_issue,I’m sorry to hear about the delay. Could you please share your order number and the shipping carrier listed on the order? That will help me look into the status for you.,4,4,5,5,5,4.6,"Reply acknowledges delay, requests order details to investigate, is relevant, helpful, grounded, safe, and clear."
2625345,What happened to the 20% off for prime members if you buy a new game within 2 weeks of release? It came out 3 days ago. https://t.co/bkUMTPa3ue,prime_membership_or_benefit,"I’m sorry for the confusion. The 20 % Prime discount on new games applies only if you purchase the title before its official release date. Since the game you’re looking at launched just a few days ago, the discount isn’t available for that purchase. If you have any other questions, feel free to let me know.",3,2,2,5,5,3.4,"The reply addresses the question but gives an incorrect policy, so relevance and helpfulness are moderate. It makes an unsupported claim, lowering groundedness. Safety and clarity are high."
470894,Have to give credit to ... delivery problem and customer service sorted it out with a replacement right away and has promised to never ship with again. Fair resolution. Quick. Decisive. Heard my concern and acted. Thanks.,feedback_or_praise,"Thank you for sharing your positive experience! We’re glad the issue was resolved quickly and to your satisfaction. If there’s anything else we can help with, just let us know. Have a great day!",5,4,5,5,5,4.8,"The reply acknowledges the customer’s praise, is clear, safe, and grounded, but offers no additional actionable help."
1574304,Alexa has problem in finding artists whose name has a Dr. in it for music. Any idea why? Ex Dr. Rajkumar 😬,product_or_technical_issue,"Hi! Alexa can sometimes have trouble with titles that include abbreviations like “Dr.”.  
Try saying “Doctor Rajkumar” or “Dr Rajkumar” (without the period) and see if it finds the artist.  

If that still doesn’t work, could you let me know your device model and the Alexa app version? That’ll help me look into it further.",5,5,5,5,5,5.0,"The reply directly addresses the issue, offers clear actionable steps, contains no unsupported claims, is safe, and is concise and easy to understand."
2970552,my package hasn’t arrived and it’s like 5pm lol what time is cutoff for your drivers?,delivery_issue,"I’m sorry you’re still waiting. Amazon drivers typically deliver until 8:00 PM. If you haven’t received your package by then, please let me know your order number and I’ll help you check the latest status.",5,5,5,5,5,5.0,"The reply directly answers the cutoff time question, offers further assistance, makes no unsupported claims, is safe, and is clear and concise."
394512,"i haven’t yet, i’m waiting till the end of the day to see if it’ll show up.",delivery_issue,"Sounds good—give it a bit more time. If you’d like, you can check the tracking status in your order details for the most up‑to‑date information. Let us know if anything changes or if you need further help.",4,4,5,5,5,4.6,"Reply addresses delivery wait, offers tracking check, is factual, safe, and clear."
1400597,Great service from ... parcel was delivered opened and an Item was missing.... this is literally how I received this parcel. https://t.co/GoPtbpWPUp,order_or_product_issue,I’m really sorry to hear that. Could you please let me know the order number and which item was missing? I’ll help you get this resolved.,4,4,5,5,5,4.6,"The reply acknowledges the issue, requests necessary details, and offers resolution, making it relevant, helpful, grounded, safe, and clear."
2513427,I ordered 2 books for my sister in Canada that haven't shown up. Ordered 11th Oct... How do I get a refund ?,return_or_refund,"Hi there—sorry to hear your books haven’t arrived. Could you please share your order number and the shipping address? Once we have that, we can start a return request and work on getting a refund for you.",4,4,5,5,5,4.6,"Reply addresses the issue, offers actionable steps, contains no unsupported claims, is safe, and is clear."
1108252,"I need actually help from https://t.co/IKYljKzc3O - Associates as I am waiting since months for my payments and they don`t solve the issue, because I haven`t received one of them. Do you have a telephone number?",payment_or_amazon_pay,"Hi there,

I’m sorry to hear your payment is still pending. The best way to get this resolved is to contact the Amazon Associates support team directly. Log in to your Associates account, go to the “Help” section, and use the “Contact Us” option to reach a specialist. They’ll be able to look into the missing payment and provide a phone number if a call is needed.",4,4,5,5,5,4.6,"Reply addresses missing payment, gives clear steps to contact support, no unsupported claims, safe, concise."
