customer_tweet_id,support_tweet_id,customer_text,support_text,intent,escalation,escalation_reason,annotator
644039,644037,"If I gotta go look for my items in an actual store because I need em for saturday, Im going to be so upset","Oh no! We hope you don't have to as well, Tiffany! What was the promised delivery date for your order? Let us know! ^JD",,,,
514703,514702,So mad We have bday parties for 5 friends this Sun. I ordered 5 similar gifts on Mon with #AmazonPrime - delayed until next Tues!,"Oh no, I'm sorry! Did we miss the delivery date provided on your order? You can check that here: https://t.co/Y5jpI9gRhE ^EA",,,,
2625345,2625344,What happened to the 20% off for prime members if you buy a new game within 2 weeks of release? It came out 3 days ago. https://t.co/bkUMTPa3ue,I'm sorry for the trouble! The purchase must be made prior to release: https://t.co/sXYH9AKkeA ^TN,,,,
470894,470892,Have to give credit to ... delivery problem and customer service sorted it out with a replacement right away and has promised to never ship with again. Fair resolution. Quick. Decisive. Heard my concern and acted. Thanks.,"Hello, I am glad to hear that the issue was addressed promptly. I hope you have a great weekend. ^CR",,,,
1574304,1574303,Alexa has problem in finding artists whose name has a Dr. in it for music. Any idea why? Ex Dr. Rajkumar 😬,"I understand your concern, please contact us here: https://t.co/vlvfJrlYEH, so that we can assist you accordingly. ^PJ",,,,
2970552,2970550,my package hasn’t arrived and it’s like 5pm lol what time is cutoff for your drivers?,"I'm sorry you haven't received your package yet! Deliveries can be made until 8:00PM. If you haven't received your package by then, please let us know! ^JS",,,,
394512,394513,"i haven’t yet, i’m waiting till the end of the day to see if it’ll show up.","Awesome. Keep us posted, Julia! We are here to help! ^SA",,,,
1400597,1400596,Great service from ... parcel was delivered opened and an Item was missing.... this is literally how I received this parcel. https://t.co/GoPtbpWPUp,I'm so sorry! We'd like to help! Please reach out to us via phone/chat here: https://t.co/JzP7hlA23B for further assistance. ^TK,,,,
2513427,2513425,I ordered 2 books for my sister in Canada that haven't shown up. Ordered 11th Oct... How do I get a refund ?,"Hi, sorry to hear that. What's the current status of the tracking: https://t.co/aaDyEzjw8c? ^JJ",,,,
1108252,1108251,"I need actually help from https://t.co/IKYljKzc3O - Associates as I am waiting since months for my payments and they don`t solve the issue, because I haven`t received one of them. Do you have a telephone number?",Hi Stefanie. Please get in touch via this link - https://t.co/4iitRbzq3W ^TP,,,,
1353508,1353507,"hi, i recieved an email about amazon prime which i dont have &amp; was just wondering if u could tell me if it was real. Thanks https://t.co/9aVvu5omd2",Thanks for reaching out! Here are some tips to identify our e-mails and report suspicious messages: https://t.co/FsBsDXMKKU ^RA,,,,
1241096,1241095,"No errors, but nothing loads up on the home screen.",You can find some troubleshooting steps here: https://t.co/bBYNGU94Mo ^TR,,,,
13185,13184,"WTF! Called them again and again, the call was dropped after 5 seconds of talking to someone. This is my 4th call for product NOT delivered",Was any information provided to you in the phone conversation? Who was the carrier as listed here: https://t.co/Y5jpI9gRhE ^CH,,,,
1702131,1702134,Your send feedback button is not working. So how do you give feedback on your feedback that’s not working. https://t.co/OMV81AcXiP,You can reach out to us directly here: https://t.co/hApLpMlfHN to leave feedback. ^KH,,,,
226104,226106,It’s been 20 days since delivery but there is no solid update from . How inefficient team does Amazon has in India.,You should have received an email from us. Please check here: https://t.co/8DAc10S7ww. Do keep us posted. ^HA,,,,
1574454,1574453,This is like the 4th time this month you’ve sent my package to the wrong place,We'd like to check that for you. Get in touch here: https://t.co/hApLpMlfHN and we'll be happy to help. ^RS,,,,
223930,223928,What's the point in having Prime if they don't guarantee my shipment in 2 days. Hmmm,Is this regarding a current order shown here: https://t.co/PyACxvY8Qo? ^AG,,,,
2279718,2279716,has apparently decided fucking over customers is worth saving a few dollars. Maybe I should save a few on my account.,"This certainly isn't the impression we'd like to leave with our customers! Without sharing account/personal details, can you please tell us what's going on? We'd love to help out in any way we can. ^WJ",,,,
2960563,2960562,"My third year in a row ordering all my holiday presents from - It's getting worse each year. Orders always screwed up, wrong items sent, damaged, etc. It's my last year ordering anything from Amazon. I will be going back to traditional shopping at the store.",I'm sorry for the poor experience you've had with us! We'd like to make sure you're taken care of. Is there a current order you're experiencing issues with? ^AR,,,,
2141361,2141359,"I got a refund via gift certificate about 4 hours ago due to careless deliveres resulting in my order being missing, where do I see that the money's been refunded",You can check your Gift Card balance here: https://t.co/ZTJOEmCGZS ^ME,,,,
1466813,1466810,"Hey this is not camp kern property, every delivery to this location has ben botched in some fashion. Please fix this issue. https://t.co/liwScRRv61","I'm so sorry for any inconvenience! We'd like to help. Just to confirm, was this the incorrect address for this package? ^BL",,,,
2852165,2852164,I've had £1 pending on my account since 11/11 by can you like let me have it back please? #skint,"Hi there! Authorization holds like that are put in place by your bank. It's up to the bank to decide when to remove it. You can reach out to your bank and request they take it off, though! Here's more about removing the hold: https://t.co/6n6vCIs64G ^SP",,,,
2608106,2608104,Pre-ordered my #SuperMarioOdyssey strategy guide a month ago from . Game's been out since Thurs night. No guide yet. https://t.co/8wTImJuqKx,I'm sorry for the wait. Some items aren't able to dispatch immediately. What date is on the order confirmation e-mail? ^AN,,,,
924436,924435,"Guys, please take down the offer on the home page of mobile app as it has expired #QAFail #SoftwarePatch https://t.co/0ygfzEimzA",Thanks for flagging this. We'll have this reviewed internally. ^SQ,,,,
1045002,1045004,I can't because it only gives me returns and I don't want to return it. I want money off my order as it's not new as advertised.,"Apologies, have you been in touch? If not, please reach out - https://t.co/JzP7hlA23B we'll be happy look into your concern^TP",,,,
1286429,1286431,There isn't a tracking number was due by 20th when I contacted the seller they said Thursday but it's still not here 🙁,"Have you had the chance to reach out to the third-party seller again? If so, what options and insight did they provide? ^GM",,,,
2385780,2385779,i have be chasing for my refund for almost 10 days now. Please support. My complaint no 4__credit_card__,Please don't provide your order details as we consider it personal info. Our twitter page is visible to public.(2/2)^CB,,,,
1760499,1760497,what am I paying for exactly with prime? I love receiving a box full of broken bottles https://t.co/3k4D0Dox3B,"Truly sorry to see this occurred! Please, reach us here to explore possible options together: https://t.co/hApLpMlfHN ^JE",,,,
2520592,2520591,who trains the amazon delivery drivers? and why do they lie about their attempts at delivery?,"I'm sorry you haven't received your package yet, we want to help get this issue resolved. Were you home at the time the package was marked as delivery attempted? ^BT",,,,
230926,230935,I understand once you hand it over it’s on delivery drivers but 3/n,"Sorry to hear that, James, it's not what we want you to experience, contact us here: https://t.co/JzP7hlA23B ^AS",,,,
863343,863341,Customer care not help me I was trying many times. They told me that our system is down. Please call after 24 hour,I'm sorry about that. I’d like to help you; please fill this form: https://t.co/beaaDlIL5C and I’ll contact you soon. ^SC,,,,
1678590,1678591,regret should have ordered from you guys.. https://t.co/0kHn5JNNCy,"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^RI",,,,
1540469,1540468,"I said, ""Alexa, sound like a cat."" And Alexa made a noise that still has Finn scouring the house for another feline.",That was Sir Purrs-A-Lot 🐱. He's the best on our Echo team. 😁 ^JP,,,,
969260,1258235,"Yesterday your associate acknowledged of receiving product , but denied of sending mail, still no change in the status",respond to the email for further assistance. 2/2 ^SB,,,,
71837,71836,Done. I am awaiting for my refund.......,Thanks for the heads-up. We'll check this and get back with an update. Keep an eye on your mailbox. ^YP,,,,
1580412,1580411,"Hey! Can't sign in or reset password. I don't get the code emails, and internet/email are all working. I'm in California.","I'm sorry for the trouble w/ your account! When you have the time, please reach us via phone here: https://t.co/jzvkhdlrK5 ^KP",,,,
735713,1399858,8523068977 my mobile no. I wnt ans.. It's nt right way to deal with cstmers.. At least call me plz..,"Kindly connect with us via email. We'll check this for you. Also, please don’t provide your details as we consider (1/2)",,,,
2396351,2396346,"Re emails - I had an order where the payment was declined last month and on 3 October got a verification code, but I've used the account since then. Nothing about the account ceasing to exist!",We're unable to access account information via Twitter. We'd like to help if we can. Please contact us directly via phone or chat here: https://t.co/zYVX1Qi29G ^JF,,,,
1580420,1580419,My friend bought a 40 page colouring book from &amp; this is what it arrived in. A shocking waste of packaging https://t.co/KtJ294MQUM,Hi. Please have your friend leave packaging feedback. Here is how:https://t.co/TtrKobmbKJ ^DA,,,,
1688732,1688729,"need urgent help with an order, emergency situation. Can you help please?",Could you please elaborate the issue so that we can assist you accordingly. ^SU,,,,
2230315,2230313,"Yes I got an email about it, it said to ring a number in order to gain access to the account again and then redo all addresses and payment details etc, but the number the email gave states that amazon don’t use this number or anymore or something similar when I ring. Thankyou","Thanks for clarifying, Scott! Please share the number w/ us given in the email so we can review upon contacting us here: https://t.co/zYVX1Qi29G so we can help review your best options. ^TM",,,,
575902,575900,can an Echo Plus act as an auxiliary speaker when viewing streaming content on my TV (regardless if it’s Prime content or otherwise)?,"Hi, are you referring to the Fire TV? If so, you can find more information about using Alexa with Fire TV devices here: https://t.co/XTir6eKeVY. ^JJ",,,,
2290540,2290539,"Hi theres something wrong with the site and app. When I click to check my orders, they aren't visible. https://t.co/AtyDHtpuG3",Hello- Is it possible you have another account with a different email address? Have you tried using a previous order confirmation email to gain access by clicking through this way? ^NV,,,,
838304,838305,Done pls check and resolve now...pls act first,Thanks for the confirmation. We're working on this for you. We'll reach out to you soon with an update. ^VN,,,,
314719,314721,Not resolved..had to postpone the delivery to Monday,Apologies for the trouble. Please drop your details here: https://t.co/0PjlHTFYkM we'll connect with you on this. ^RB,,,,
464368,464366,Hello When #AmazonRechargeQuiz winner will be announced today? Plz tell me time,The Amazon recharge quiz results will be announced today. Kindly wait till the end of the day for the results. ^SC,,,,
1226476,1226478,The option is to wait until the expected delivery date.. 😭 that’s the second parcel that’s not come! First one disappeared this ones late,"I'm so sorry for the poor experience! If it doesn't arrive by then, we'd be happy to help out in any way we can. ^WJ",,,,
304561,304563,"Yes, tried that, but since I don’t have access to Authenticator on the old phone I can’t enter a code. I need a bar code to scan.",Please contact us directly so we can look into this further: https://t.co/hApLpMlfHN ^SB,,,,
2551369,2551367,placed an order nearly a month ago and would be expected between the 20th and 30th but it's still not here yet?,I'm sorry for the wait! Was the item shipped by us or a third-party seller? Have we provided tracking details? ^DD,,,,
1265092,1265090,"Another day another order another problem Order # 026-4946477-2030716 should have been here by 1.00pm today but normal crap service nothing arrived. Why does this keep happening. Where is my order,",My apologies Barry. We're unable to access order details via social media. Is there any updated tracking information? ^DC,,,,
